Price,Margen,Distribuidor,Sku,qty
1000000,1.035,Quintec,MEFAKE,1
688102,1.035,Quintec,MJVP2CI/A,51
749801,1.035,Quintec,MMGG2CI/A,3
897275,1.035,Quintec,MLHE2CI/A,1
897275,1.035,Quintec,MMGL2CI/A,10
1108123,1.035,Quintec,MLH82CI/A,5
1108123,1.035,Quintec,MLHC2CI/A,2
1108123,1.035,Quintec,MLHF2CI/A,4
1108123,1.035,Quintec,MMGM2CI/A,11
558816,1.035,Quintec,MD101CI/A,87
1285707,1.035,Quintec,MF841CI/A,3
1361337,1.045,Quintec,MJLQ2CI/A,5
1663858,1.045,Quintec,MJLT2CI/A,12
898959,1.040,Quintec,MK442CI/A,1
1036484,1.040,Quintec,MK452CI/A,17
1357136,1.040,Quintec,MK472CI/A,15
1621178,1.040,Quintec,MK482CI/A,3
688077,1.040,Quintec,MGEQ2CI/A,1
2036668,1.040,Quintec,ME253CI/A,3
2715049,1.040,Quintec,MD878CI/A,2
235287,1.04,Quintec,MJ2T2CI/A,4
235287,1.04,Quintec,MJ2X2CI/A,2
199656,1.040,Quintec,ME277CI/A,2
244026,1.035,Quintec,ME800CI/A,8
244026,1.035,Quintec,ME814CI/A,2
281001,1.035,Quintec,ME820CI/A,6
281001,1.035,Quintec,ME824CI/A,7
247800,1.040,Quintec,MK6L2CI/A,1
247800,1.040,Quintec,MK6K2CI/A,2
247800,1.040,Quintec,MK6J2CI/A,15
307800,1.040,Quintec,MK9J2CI/A,11
307800,1.040,Quintec,MK9H2CI/A,1
367900,1.040,Quintec,MK9Q2CI/A,5
367900,1.040,Quintec,MK9P2CI/A,5
367900,1.040,Quintec,MK9N2CI/A,5
322900,1.040,Quintec,MK712CI/A,7
322900,1.040,Quintec,MK6Y2CI/A,2
382800,1.040,Quintec,MK752CI/A,6
443000,1.040,Quintec,MK782CI/A,6
443000,1.040,Quintec,MK772CI/A,8
443000,1.040,Quintec,MK762CI/A,3
309373,1.040,Quintec,MH182CI/A,5
421505,1.040,Quintec,MGHY2CI/A,2
421505,1.040,Quintec,MH172CI/A,10
405603,1.040,Quintec,MLMQ2CI/A,3
504948,1.040,Quintec,MLMV2CI/A,4
504948,1.040,Quintec,MLMW2CI/A,29
504948,1.040,Quintec,MLMX2CI/A,6
504948,1.040,Quintec,MM192CI/A,5
604295,1.040,Quintec,MLMY2CI/A,12
604295,1.040,Quintec,MLN02CI/A,3
604295,1.040,Quintec,MLN12CI/A,5
604295,1.040,Quintec,MM1A2CI/A,3
491503,1.040,Quintec,MLPW2CI/A,3
491503,1.040,Quintec,MLPX2CI/A,5
491503,1.040,Quintec,MLPY2CI/A,5
491503,1.040,Quintec,MLYJ2CI/A,3
590849,1.040,Quintec,MLQ52CI/A,5
590849,1.040,Quintec,MLYL2CI/A,3
690196,1.040,Quintec,MLQ62CI/A,8
690196,1.040,Quintec,MLQ72CI/A,10
690196,1.040,Quintec,MLQ82CI/A,4
690196,1.040,Quintec,MLYM2CI/A,6
537400,1.040,Quintec,ML0F2CI/A,3
537400,1.040,Quintec,ML0G2CI/A,4
537400,1.040,Quintec,ML0H2CI/A,5
637700,1.040,Quintec,ML0N2CI/A,5
637700,1.040,Quintec,ML0Q2CI/A,5
637700,1.040,Quintec,ML0R2CI/A,8
730532,1.040,Quintec,ML0T2CI/A,3
730532,1.040,Quintec,ML0U2CI/A,5
730532,1.040,Quintec,ML0V2CI/A,1
731900,1.040,Quintec,ML2J2CI/A,2
731900,1.040,Quintec,ML2K2CI/A,4
816443,1.040,Quintec,ML2M2CI/A,8
816443,1.040,Quintec,ML2N2CI/A,3
90749,1.040,Quintec,MKN52LZ/A,1
90749,1.040,Quintec,MKN02LZ/A,2
90749,1.040,Quintec,MKMV2LZ/A,5
29572,1.04,Quintec,MKMJ2LZ/A,3
29572,1.04,Quintec,MKMG2LZ/A,7
29572,1.04,Quintec,MKME2LZ/A,5
29572,1.04,Quintec,MKM72LZ/A,18
29572,1.04,Quintec,MKM92LZ/A,4
118312,1.04,Quintec,MKGX2LZ/A,9
147892,1.04,Quintec,MKJ02LZ/A,6
147892,1.04,Quintec,MKHX2LZ/A,8
147892,1.04,Quintec,MKHV2LZ/A,3
147892,1.04,Quintec,MKHQ2LZ/A,2
147892,1.04,Quintec,MKHT2LZ/A,1
177472,1.04,Quintec,MKHL2LZ/A,3
177472,1.04,Quintec,MKHJ2LZ/A,9
177472,1.04,Quintec,MKHE2LZ/A,5
177472,1.04,Quintec,MKGW2LZ/A,17
177472,1.04,Quintec,MKHC2LZ/A,14
47366,1.040,Quintec,MD199CI/A,75
137530,1.040,Quintec,MLNC2CI/A,53
53775,1.04,Quintec,MJ1K2AM/A,10
51686,1.04,Quintec,MJ1L2AM/A,6
13439,1.04,Quintec,MJ1M2AM/A,11
19192,1.04,Quintec,MJWT2AM/A,4
13439,1.04,Quintec,MC838BE/B,32
6884,1.04,Quintec,MD504BE/A,7
51685,1.04,Quintec,MD506CI/A,4
51685,1.04,Quintec,MD565CI/A,8
20161,1.04,Quintec,MC704BE/A,29
51685,1.04,Quintec,MD564BE/A,8
51685,1.04,Quintec,MD592CI/A,27
41416,1.04,Quintec,MGN62ZM/A,4
23523,1.04,Quintec,MGNC2ZM/A,2
36044,1.04,Quintec,MKLK2ZM/A,8
34951,1.04,Quintec,MKLP2ZM/A,3
23730,1.04,Quintec,MKLW2ZM/A,5
23759,1.04,Quintec,MKM12ZM/A,5
35664,1.04,Quintec,MLD32ZM/A,4
35664,1.04,Quintec,MLD62ZM/A,5
23523,1.04,Quintec,MGTM2ZM/A,13
23523,1.04,Quintec,MGTN2ZM/A,3
47527,1.04,Quintec,MGTV2ZM/A,6
47527,1.04,Quintec,MGTW2ZM/A,19
23523,1.04,Quintec,MGXK2ZM/A,4
47527,1.04,Quintec,MK0D2ZM/A,13
47527,1.04,Quintec,MK0E2ZM/A,4
34304,1.04,Quintec,MK0L2ZM/A,1
35304,1.04,Quintec,MLJK2ZM/A,10
30245,1.04,Quintec,MM292AM/A,8
30245,1.04,Quintec,MM2C2AM/A,11
99304,1.04,Quintec,MM2L2AM/A,67
11509,1.04,Quintec,MA591E/C,39
11509,1.04,Quintec,MD813CI/A,144
11393,1.04,Quintec,MD818AM/A,156
17254,1.04,Quintec,MD823ZM/A,30
17428,1.04,Quintec,MD827ZM/A,87
11509,1.04,Quintec,MC003E/A,7
51697,1.04,Quintec,MG2Q2LZ/A,27
11509,1.04,Quintec,MM4T2AM/A,9
32816,1.04,Quintec,MB110E/B,119
20161,1.04,Quintec,MB570BE/B,1
20161,1.04,Quintec,MB572BE/B,99
17606,1.04,Quintec,MB974ZM/B,1
67202,1.04,Quintec,MC414CI/A,10
17648,1.04,Quintec,MC552ZM/B,3
20161,1.04,Quintec,MD464BE/A,2
30245,1.04,Quintec,MD825ZM/A,1
11509,1.04,Quintec,MD836CI/A,8
196201,1.04,Quintec,ME177CI/A,5
264549,1.04,Quintec,ME182CI/A,5
134403,1.04,Quintec,ME918CI/A,7
20161,1.04,Quintec,MF640BE/A,1
19192,1.04,Quintec,MJVU2AM/A,3
13439,1.04,Quintec,MK122CI/A,4
52752,1.04,Quintec,MLA02LZ/A,7
66350,1.04,Quintec,MLA22E/A,49
